Stations_id, von_datum,bis_datum,Stationshoehe, geoBreite,geoLaenge ,Stationsname, Bundesland, Abgabe
5691,19480101,20021231,335,51.414,10.359,Worbis,Thüringen,Frei
5692,19360101,20241030,88,49.6051,8.3659,Worms,Rheinland-Pfalz,Frei
5693,19510101,20061231,8,53.2293,8.9647,Worpswede-Schlußdorf,Niedersachsen,Frei
5694,19310101,19701230,345,49.35,11.15,Worzeldorf,Bayern,Frei
5695,19310101,20071231,50,52.9132,10.5981,Wrestedt-Stederdorf,Niedersachsen,Frei
5696,19780101,20021231,79,53.0307,10.2809,Wriedel-Schatensen,Niedersachsen,Frei
5698,19310101,19571230,90,52.15,9.75,Wülfingen,Niedersachsen,Frei
5699,19410101,20241030,312,51.5427,8.7784,Wünnenberg-Eilern,Nordrhein-Westfalen,Frei
5700,19450301,20241001,422,50.7321,13.1648,Lengefeld-Neunzehnhain,Sachsen,Frei
5701,19690101,20021231,200,51.0182,12.2291,Würchwitz,Sachsen-Anhalt,Frei
5702,19510101,19781231,174,49.8,9.95,Würzburg (Bahnhofstr),Bayern,Frei
5703,19510101,19860131,170,49.7964,9.8949,Würzburg/Main,Bayern,Frei
5704,19510101,19771231,174,49.7667,9.9333,Würzburg (Mergentheimer Straße),Bayern,Frei
5705,19470101,20241030,268,49.7704,9.9576,Würzburg,Bayern,Frei
5706,19510101,19771231,180,49.7667,9.95,Würzburg-Heidingsfeld,Bayern,Frei
5707,18800101,19530130,175,49.7995,9.928,Würzburg (Physikalisches-Institut),Bayern,Frei
5708,19510101,19781231,174,49.8,9.8833,Würzburg-Zell (Wasserwerk),Bayern,Frei
5709,19510101,19701230,380,49.7833,10.5833,Wüstenbuch,Bayern,Frei
5710,18880101,19961231,480,49.0865,9.4958,Wüstenrot-Finsterrot,Baden-Württemberg,Frei
5711,19410101,20241030,390,49.1295,9.4945,Wüstenrot-Oberheimbach,Baden-Württemberg,Frei
5712,19690101,20241030,79,53.246,12.4157,Wulfersdorf,Brandenburg,Frei
5713,19510101,20061231,22,53.3016,10.1438,Wulfsen,Niedersachsen,Frei
5714,19310101,20051231,520,50.0395,12.0279,Wunsiedel,Bayern,Frei
5715,19410101,20241030,49,52.4626,9.4245,Wunstorf,Niedersachsen,Frei
5716,19510101,19980131,197,51.2801,7.202,Wuppertal-Barmen,Nordrhein-Westfalen,Frei
5717,19370101,20241030,134,51.2256,7.1052,Wuppertal-Buchenhofen,Nordrhein-Westfalen,Frei
5718,19310101,20061231,275,51.2333,7.2833,Wuppertal-Herbringhausen,Nordrhein-Westfalen,Frei
5719,19410101,20091209,235,51.2051,7.2,Remscheid,Nordrhein-Westfalen,Frei
5720,19310101,19761231,176,51.2333,7.0667,Wuppertal-Vohwinkel,Nordrhein-Westfalen,Frei
5721,19310101,20241030,474,48.3569,12.7679,Wurmannsquick-Egelsberg,Bayern,Frei
5722,19410101,19850131,466,48.3667,12.3167,Wurmsham-Pauluszell,Bayern,Frei
5723,19510101,20241030,717,47.9562,9.8802,"Wurzach, Bad-Oberschwarzach",Baden-Württemberg,Frei
5724,19881201,20241030,690,47.9589,10.0139,Rot an der Rot-Buch,Baden-Württemberg,Frei
5725,18840101,20141031,127,51.3706,12.7515,Wurzen,Sachsen,Frei
5726,19690101,20061231,32,52.5261,12.1454,Wust-Sydow,Sachsen-Anhalt,Frei
5727,19510101,20041231,22,54.1153,13.6132,Wusterhusen,Mecklenburg-Vorpommern,Frei
5728,19690101,19961231,35,52.8039,12.8714,Wustrau-Ziethenhorst,Brandenburg,Frei
5729,19520701,20241030,6,52.7606,14.2174,Wustrow,Brandenburg,Frei
5730,19221001,20051231,2,54.3451,12.3984,"Wustrow, Ostseebad",Mecklenburg-Vorpommern,Frei
5731,19610101,20241030,395,47.6783,8.3801,Wutöschingen-Ofteringen,Baden-Württemberg,Frei
5732,18870701,20241030,9,54.6928,8.5271,Wrixum/Föhr,Schleswig-Holstein,Frei
5733,19510101,20241030,20,51.697,6.3974,Xanten,Nordrhein-Westfalen,Frei
5736,19690101,20011231,69,51.7948,11.9329,Zabitz-Maxdorf,Sachsen-Anhalt,Frei
5737,18900101,20021231,94,51.9079,12.7884,Zahna,Sachsen-Anhalt,Frei
5738,19310101,20011231,245,50.0203,10.9323,Zapfendorf,Bayern,Frei
5739,19690101,20061231,70,51.5081,11.8021,Zappendorf-Müllerdorf,Sachsen-Anhalt,Frei
5740,19690101,20011231,40,54.0578,12.4959,Zarnewanz,Mecklenburg-Vorpommern,Frei
5741,18880101,20051231,48,53.5504,10.9133,Zarrentin,Mecklenburg-Vorpommern,Frei
5742,19690101,20020430,9,52.6244,14.4089,Zechin-Wollup,Brandenburg,Frei
5743,19720101,20051231,65,53.1577,12.8697,Zechlinerhütte,Brandenburg,Frei
5745,19510101,20241030,51,52.9664,13.3268,Zehdenick,Brandenburg,Frei
5746,19810101,20241001,105,51.1991,13.4049,Diera-Zehren,Sachsen,Frei
5747,19410101,20241030,347,50.0327,10.6394,Zeil-Bischofsheim,Bayern,Frei
5748,19510101,20241030,407,48.2779,12.8714,Zeilarn-Gumpersdorf,Bayern,Frei
5749,19780101,20081231,430,50.2396,9.6817,Zeitlofs-Roßbach,Bayern,Frei
5750,19520901,20241030,264,51.0314,12.1495,Zeitz,Sachsen-Anhalt,Frei
5751,19870901,20021231,730,47.7349,7.8644,Zell im Wiesental -Pfaffenberg,Baden-Württemberg,Frei
5752,19791201,19970831,620,50.1364,11.8124,"Zell, Kreis Hof",Bayern,Frei
5753,19510101,20241030,500,49.1133,12.4338,Zell/Oberpfalz-Mattenzell,Bayern,Frei
5754,18980801,19951231,530,50.65,10.6667,Zella-Mehlis,Thüringen,Frei
5755,19690101,19951231,89,51.8954,13.0716,Zellendorf,Brandenburg,Frei
5756,19310101,19820430,600,47.8667,11.0667,Zellsee,Bayern,Frei
5757,19690101,20241030,13,53.9758,13.7518,Zemitz,Mecklenburg-Vorpommern,Frei
5758,19610101,20241030,293,49.8709,6.7074,Zemmer (Forsthaus Mülchen),Rheinland-Pfalz,Frei
5759,19510101,19751231,314,49.7667,10.9,Zentbechhofen,Bayern,Frei
5761,18870101,20061231,69,51.9642,12.0996,Zerbst,Sachsen-Anhalt,Frei
5762,19920701,20241030,83,53.0704,10.8831,Zernien,Niedersachsen,Frei
5763,19690101,20241030,141,51.238,11.8295,Freyburg/Unstrut-Zeuchfeld,Sachsen-Anhalt,Frei
5765,19510101,20070228,462,50.6349,11.9738,Zeulenroda,Thüringen,Frei
5766,19790101,20161031,360,50.6682,11.9777,Zeulenroda/Weida,Thüringen,Frei
5767,19510101,20241030,28,53.2989,9.3351,Heeslingen-Wiersdorf,Niedersachsen,Frei
5768,19690101,20061231,63,52.6061,11.2986,Zichtau,Sachsen-Anhalt,Frei
5769,19460101,20041231,263,51.3334,11.4683,Ziegelroda,Sachsen-Anhalt,Frei
5770,19450401,20021231,316,50.6132,11.6472,Ziegenrück,Thüringen,Frei
5771,19310101,19641230,328,50.2,9.5167,Zieglerfeld,Bayern,Frei
5772,19920601,20051231,485,48.2938,10.5246,Ziemetshausen,Bayern,Frei
5773,19510101,19911130,578,48.2738,10.5455,Ziemetshausen-Seifriedsberg,Bayern,Frei
5774,19410101,19921031,98,53.1167,10.8833,Zienitz,Niedersachsen,Frei
5775,19410101,19900228,280,51.4,9.25,Zierenberg-Escheberg,Hessen,Frei
5776,18900619,20170228,54,52.2694,12.2901,Ziesar,Brandenburg,Frei
5777,18941001,20241030,1,54.4317,12.6837,"Zingst, Ostseeheilbad",Mecklenburg-Vorpommern,Frei
5778,19690101,20040731,2,54.0801,13.8989,Zinnowitz,Mecklenburg-Vorpommern,Frei
5779,19710101,20241030,877,50.7313,13.7516,Zinnwald-Georgenfeld,Sachsen,Frei
5780,19780101,20241030,311,49.4428,10.9443,Zirndorf,Bayern,Frei
5781,18840101,20061231,235,50.8849,14.8112,Zittau,Sachsen,Frei
